ISIN;ISIN-Bezeichnung;Verwaltungsgesellschaft;OeNB-Identnummer;LEI;LEI-Status;Wrapper;ISIN-Status;Laufzeitende
AT0000494885;ERSTE STOCK ISTANBUL CZK R01 (VTA);Erste Asset Management GmbH;7525150;529900H75NQB6QF06580;ISSUED;1869;A;
AT0000494893;ERSTE STOCK ISTANBUL EUR R01 (VTA);Erste Asset Management GmbH;7525150;529900H75NQB6QF06580;ISSUED;1869;A;
AT0000495023;VKB Vorsorge Plus (T);Gutmann Kapitalanlagegesellschaft m.b.H;8458472;213800VCE1KZ1DYHDM67;ISSUED;2824;A;
AT0000495064;E+S Erfolgs-Invest;LLB Invest Kapitalanlagegesellschaft m.b.H.;8465819;529900F1JIUTGUXXY292;ISSUED;2794;A;
AT0000495189;VKB Anleihen Plus (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;7518153;529900OFP6XWREMJ7I12;ISSUED;2810;A;
AT0000495197;VKB Anleihen Plus (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;7518153;529900OFP6XWREMJ7I12;ISSUED;2810;A;
AT0000495288;Raiffeisen-GlobalDividend-ESG-Aktien (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8121761;529900NTJPPUEWLEV408;ISSUED;2835;A;
AT0000495296;Raiffeisen-GlobalDividend-ESG-Aktien (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8121761;529900NTJPPUEWLEV408;ISSUED;2835;A;
AT0000495304;Raiffeisen-GlobalDividend-ESG-Aktien (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8121761;529900NTJPPUEWLEV408;ISSUED;2835;A;
AT0000495353;Merkur Vario Top;LLB Invest Kapitalanlagegesellschaft m.b.H.;8466416;529900K91M7M35OBCJ76;ISSUED;2804;A;
AT0000495734;Gutmann US-Portfolio (USD) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8471185;529900PR3KGCYAPYZ281;ISSUED;1788;A;
AT0000495973;Aquatau (A);Gutmann Kapitalanlagegesellschaft m.b.H;8464235;529900VOO2EX8MM74922;ISSUED;2844;A;
AT0000496179;Apollo High Yield Bond ESG (T);Security Kapitalanlage Aktiengesellschaft;8358982;529900Z2B9838YBQ9Y61;ISSUED;431;A;
AT0000496294;Active Equity Select;LLB Invest Kapitalanlagegesellschaft m.b.H.;7511051;529900713BPAJMTGGX15;ISSUED;2840;A;
AT0000496807;Apollo 35;Security Kapitalanlage Aktiengesellschaft;8500681;5299008N1245RM4G0177;ISSUED;2860;A;
AT0000496880;Kathrein SF50;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8494185;5299006Y32AEW6CKDM23;ISSUED;2868;A;
AT0000497185;Niederoesterreich I;MASTERINVEST Kapitalanlage GmbH;8506132;529900XBIABC04Y6ST84;ISSUED;2918;A;
AT0000497227;WSS-Europa;LLB Invest Kapitalanlagegesellschaft m.b.H.;8396035;529900203GF5APVQ8873;ISSUED;2872;A;
AT0000497235;WSS-International;LLB Invest Kapitalanlagegesellschaft m.b.H.;8396043;529900PE0HO3F9WKML02;ISSUED;2873;A;
AT0000497284;RT Österreich Aktienfonds EUR R01;Erste Asset Management GmbH;7212925;5299003OTHCCK5BSJG20;ISSUED;2875;A;
AT0000497292;RT Österreich Aktienfonds EUR R01;Erste Asset Management GmbH;7212925;5299003OTHCCK5BSJG20;ISSUED;2875;A;
AT0000497672;ClassicBond (A);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7205716;529900I1H66KCV942L69;ISSUED;2893;A;
AT0000497680;ClassicBond (T);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7205716;529900I1H66KCV942L69;ISSUED;2893;A;
AT0000497698;GreenStars Moderate EUR R01;Erste Asset Management GmbH;8458618;529900JDL8LD5DWNXE89;ISSUED;1533;A;
AT0000499280;Dynamic Rotation C (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;8462259;5299002SY6V6BWH3AC61;ISSUED;2895;A;
AT0000499785;FTC Gideon I EUR R01;Erste Asset Management GmbH;7525427;529900HEIMM3B4DNOX43;ISSUED;2965;A;
AT0000500251;MI 22;MASTERINVEST Kapitalanlage GmbH;8476187;5299004H9GLBD5D28927;ISSUED;2901;A;
AT0000500277;Wiener Privatbank European Property;LLB Invest Kapitalanlagegesellschaft m.b.H.;8134626;529900PEIZF6JW7Q0J53;ISSUED;2923;A;
AT0000500285;Wiener Privatbank European Property;LLB Invest Kapitalanlagegesellschaft m.b.H.;8134626;529900PEIZF6JW7Q0J53;ISSUED;2923;A;
AT0000500350;PRO INVEST AKTIV (A);Erste Asset Management GmbH;7527993;529900FH9UH9DWT3YQ95;ISSUED;1707;A;
AT0000500442;ES 1;Erste Asset Management GmbH;7511132;529900N4VLLD3N4DVY11;ISSUED;2917;A;
AT0000500806;KEPLER Multi-Med Fund;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106428;529900V2YDKVOFPR1V16;ISSUED;2928;A;
AT0000500822;Flexibel Income Opportunities Fonds;LLB Invest Kapitalanlagegesellschaft m.b.H.;7722001;52990099FKSTD62MQR81;ISSUED;2925;A;
AT0000501010;K 6;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8103496;529900X8D55HAV1E5635;ISSUED;2929;A;
AT0000501028;Tres Amigos (T);Allianz Invest Kapitalanlagegesellschaft mbH;8467323;529900HMX7SADZLQRJ84;ISSUED;2930;A;
AT0000502711;Helvetia Plus Garant;Amundi Austria GmbH;8515441;213800D1GL7DGE1FYU30;ISSUED;3532;A;
AT0000505979;R 169-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7929005;529900T3RLEYU6BSD350;ISSUED;2964;A;
AT0000506175;MI Multi Strategy ESG (R) (A);MASTERINVEST Kapitalanlage GmbH;7527730;529900OAFLQ0HTHJCJ42;ISSUED;2538;A;
AT0000506183;UNIQA Wachstum (EUR) (VTA);Gutmann Kapitalanlagegesellschaft m.b.H;8471592;529900QJS5ES8I6NUL53;ISSUED;1920;A;
AT0000506191;UNIQA Chance  (EUR) (VTA);Gutmann Kapitalanlagegesellschaft m.b.H;8290636;529900NZ7M1EW9H8CT81;ISSUED;1309;A;
AT0000600382;Amundi Öko Sozial Mix ausgewogen;Amundi Austria GmbH;7272855;213800ADEAYSQE9DS245;ISSUED;579;A;
AT0000600390;Amundi Öko Sozial Mix ausgewogen;Amundi Austria GmbH;7272855;213800ADEAYSQE9DS245;ISSUED;579;A;
AT0000600499;Constantia Multi Invest 105;LLB Invest Kapitalanlagegesellschaft m.b.H.;8463204;529900YR06OP3TGGP506;ISSUED;2730;A;
AT0000600663;KEPLER Realzins Plus Rentenfonds (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106487;5299008OQGLDWLP9MT64;ISSUED;2741;A;
AT0000600671;KEPLER Realzins Plus Rentenfonds (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106487;5299008OQGLDWLP9MT64;ISSUED;2741;A;
AT0000600689;3 Banken Dividend Champions (R);3 Banken-Generali Investment-Gesellschaft m.b.H.;8389969;529900IOBITVXA0TRV08;ISSUED;2742;A;
